,aerospace,agribusiness,agriculture,air_transport,airlines,airport harbor and terminal operation,alcoholic_beverages,amusement parks and attraction,auto_manufacure,automobile parts suppliers,automotive,beverage,broadcasting,Builiding materials,car_manufacture,chemical,clothing_manufacture,coal_mining,College and university,computer,Computer parts and repair,computer_software,construction,crop_production,cruise_ships_building,dairy,education,Electrical Utilities,electronics,electronics_manufacture,farming and mining machinary equipments,food_processing,food_products,forest_products,Funeral Homes and service,furniture manufacturing,gas_oil,Glass,hardware and tools,jaggery,lending and mortage,Librairies Archives and Museums,metals manufacturing,milk_products,non alcoholic beverages,Office Machinery and equipments,Oil Refineries,paper_mill,petroleum,phone_companies,Plastic manufacturing ,poultry,printing_press,rubber manufacturing,Semiconductor and Microchip manufacturing,steel,sugar,textiles,timber,tobaco,vegetable_process,warehosing and storage,Village
10,1.28870877382e-36,0.0,0.0,3.92947432479e-20,8.14158341257e-17,2.3177097741e-10,8.30298743053e-24,8.79322235795e-23,1.06853639977e-13,8.82317330309e-09,0.999997019768,4.92236975203e-28,3.04140094069e-20,6.0871060525e-14,4.31819870528e-07,1.9273938022e-34,5.85152694998e-28,4.11051096375e-32,1.39144987088e-07,2.20089860053e-21,6.74996820769e-25,1.81463718816e-18,1.36192442356e-17,0.0,1.94273037296e-29,1.38179008291e-31,3.78823699521e-07,1.19412560852e-16,9.16371778459e-09,1.99199416784e-06,6.40054134171e-20,6.74399355804e-11,9.95627852488e-15,1.19515045308e-32,2.457772319e-10,1.1617757958e-36,2.61933029655e-14,8.5343658394e-30,1.01788653732e-21,0.0,1.90057442007e-10,7.93655361704e-33,6.25385198202e-26,3.1499393131e-27,5.67174935957e-22,2.36174075054e-22,1.1721739556e-15,2.07869888229e-18,2.17201301329e-23,8.37790775552e-18,4.76201489893e-28,1.3505696822e-15,1.44661623598e-19,6.5206278122e-22,2.03574071662e-12,2.42848814077e-15,0.0,0.0,6.7091837439e-23,1.3746273535e-19,1.77322533827e-12,9.61107096686e-11,Pus
11,4.74849439343e-05,2.39365476773e-07,1.77525698035e-17,2.51649794336e-07,7.79598441358e-10,8.65427456905e-21,9.6399588756e-08,5.53092990448e-15,8.1474995639e-09,5.79565734729e-30,6.63151579391e-36,0.999929666519,9.49684277884e-08,5.11595965595e-29,1.6048466349e-23,7.23205078722e-13,1.62155344707e-09,2.67772666263e-08,3.73918750568e-16,1.80764664037e-06,1.29721833793e-14,4.37572738024e-22,9.39188312118e-18,6.78097147649e-18,1.07730629972e-10,4.28850555068e-08,7.71714678969e-21,6.19859497064e-10,3.3950263576e-22,5.01284281487e-27,7.29697347071e-22,1.27637950845e-24,7.27270800023e-16,5.16984234364e-25,1.1466786874e-15,1.94661612964e-18,4.6389961642e-16,3.28303362274e-09,1.69739986051e-21,4.42161507408e-09,3.25178870715e-15,1.08726050736e-17,3.83214814048e-12,1.6987113105e-10,1.07141040928e-07,7.04321792276e-18,2.34587916849e-21,1.12491748858e-20,1.43892675942e-15,2.59281176173e-13,2.69717845295e-20,6.08796864371e-38,2.5333819316e-32,6.64971532651e-25,2.4681185805e-22,8.3721768828e-16,1.98012662622e-06,1.81054601853e-05,5.34032895088e-23,6.2479940735e-26,2.16325427561e-35,4.23260668617e-26,Bardapur
12,1.37602562678e-09,2.24573692975e-08,1.85979564998e-21,1.20797295722e-07,8.08890661119e-08,1.52934305844e-12,6.55765480979e-13,5.73917371134e-24,4.05815875695e-12,1.5110874791e-12,9.24044285361e-35,1.82832309292e-07,0.999993920326,0.0,1.78929917783e-28,3.28438108695e-26,3.88769740312e-06,1.24973997817e-09,4.8389022925e-16,1.51038818785e-07,4.83104884097e-07,2.59321690705e-27,4.15216242039e-34,2.03156689354e-21,1.78834655418e-10,4.10998213241e-09,4.62447081155e-23,3.1826156639e-18,1.09244644606e-28,3.01088299078e-34,4.53906021025e-22,5.54960870033e-23,3.1902428077e-07,0.0,6.86812108922e-12,1.66543916221e-35,5.80933790957e-21,9.13000035817e-13,1.22761913079e-21,2.42627793535e-14,5.30646568353e-11,0.0,1.52137146197e-12,3.57765483905e-11,1.44431163325e-20,7.7572195778e-07,6.53750948111e-32,2.92765333867e-15,4.22419748457e-20,7.93718636459e-20,1.72118672351e-34,0.0,1.37325792173e-30,0.0,8.09589944743e-19,4.44941731571e-14,1.58499006021e-12,6.24730738434e-16,1.87679629568e-18,2.3265006623e-16,6.8047932322e-37,2.81235243225e-37,Shepwadi
13,1.24741917621e-18,2.20508914339e-17,1.13711590057e-12,2.60737341006e-14,7.7873083619e-15,1.70046744527e-17,8.27369179028e-14,6.18529405472e-09,8.81355211035e-10,6.71123712159e-11,2.08880525723e-12,3.23446769368e-10,5.56362464779e-13,0.993556201458,4.5827763806e-09,1.93447740465e-11,7.52551007621e-11,1.04717953282e-18,0.000106922365376,2.93195606682e-11,2.38983366516e-13,1.42507926575e-13,0.00584579678252,2.42794629887e-12,6.27787815998e-18,1.49813055079e-15,0.000488192948978,2.88621819777e-08,3.3260273995e-17,8.41847479314e-13,1.93763852963e-07,2.69102851114e-10,7.89545973089e-14,2.30512376358e-14,5.13261300128e-09,1.0994459738e-18,8.94033111432e-14,3.34201004544e-12,8.6531692034e-08,1.93588612471e-16,2.86809620498e-09,1.38067456773e-11,2.84700716236e-14,2.02020388265e-12,1.68268479683e-06,3.85761089738e-10,3.07773533222e-12,5.65253716492e-19,1.64488902506e-14,4.98762923323e-13,5.59114310406e-10,7.10954850547e-07,5.79973509229e-18,7.46283785637e-13,2.80804567966e-12,2.7289232072e-12,1.12285549533e-18,2.4781483289e-12,3.49189455129e-10,1.50845143126e-13,1.28051443147e-12,2.91349323334e-07,Yewlewadi
14,1.77370065302e-08,1.58637624318e-15,3.06546861674e-16,1.58378410386e-09,7.50566073293e-07,4.32363350455e-07,2.14280380106e-08,9.78935682516e-11,0.105471983552,4.60055332496e-07,6.14401528765e-07,7.43364182654e-07,6.94872115403e-09,8.439939303e-10,0.89388769865,2.99808904103e-14,2.88486552355e-12,2.8748572533e-12,3.5657072317e-07,1.19542029053e-10,2.80021166844e-12,2.16120437518e-12,7.18601370409e-07,6.63506000935e-16,2.25202651666e-11,1.1104094483e-05,3.06569774011e-08,4.41239862425e-08,0.000582964043133,4.08804726248e-06,5.32998058134e-07,4.97182988113e-08,2.74887461273e-05,1.15670566458e-08,2.3473066481e-13,1.12413646723e-16,2.02994741016e-07,1.6327759457e-12,3.01715374462e-07,2.88652050396e-13,3.30794175689e-13,7.85607343068e-11,1.1171786829e-09,8.08253935247e-06,2.69330744374e-08,9.83044188274e-08,2.04340144805e-09,1.12490742024e-18,1.14960266728e-06,9.0454595203e-11,1.77453728795e-11,3.0143190461e-12,1.54311593403e-22,7.89509404559e-16,3.02834285426e-10,2.47973586109e-10,1.21192161192e-15,4.48043647539e-13,1.25775932926e-15,1.23824030456e-12,3.64573704559e-10,5.47011047569e-11,Pedgaon
15,7.47151541465e-24,2.19061169596e-16,1.61031821211e-09,5.5905709766e-17,2.31365677349e-14,1.18875208273e-20,1.04463385864e-19,1.04757653402e-16,6.83762199414e-25,1.01281296263e-22,2.00987993057e-32,7.10490694056e-13,5.45668612517e-08,1.08581268976e-11,6.067578578e-33,0.999986410141,7.83890936873e-06,2.48177867146e-11,7.70367047931e-10,1.99119401523e-10,7.63462986903e-21,3.4697137177e-18,1.58776585629e-11,1.23773424843e-09,3.68147901053e-10,1.00541328168e-24,2.34221496365e-11,4.57132045995e-07,1.92741501693e-29,2.13551007234e-25,1.93773328546e-13,2.64152419296e-17,6.62714100817e-20,1.31662649715e-28,1.14853782041e-09,8.0347810183e-08,1.60596727028e-07,1.35535037785e-22,1.01871703889e-13,1.3529366516e-09,1.13666054347e-09,7.18063371892e-15,3.2863818802e-29,1.17180297925e-24,4.73542876023e-08,1.79861275938e-21,4.33970490121e-06,4.69598209244e-18,5.0336769258e-13,1.99146740765e-10,5.96487836901e-07,6.08902956268e-13,3.88443465346e-22,1.01823619947e-15,1.33899539826e-26,1.83700421834e-24,4.58449552328e-15,1.45695380673e-12,3.26926263838e-11,1.88694857808e-13,6.62147377084e-22,1.93849551559e-16,Pathardi
16,4.20190380384e-18,2.882572403e-08,3.17422887974e-09,1.24015908654e-09,2.0978338424e-12,8.04822416904e-18,1.82644654956e-09,2.34266100442e-12,6.84737781731e-16,3.98626659459e-10,1.4048470199e-21,4.09354594666e-09,3.72880208488e-07,2.3183810427e-09,2.47693211318e-22,3.60281887879e-07,0.972065806389,2.38779301887e-10,1.92940478883e-05,8.32797695693e-07,1.128987833e-06,1.84044972107e-19,1.02531583224e-09,3.10533221359e-09,1.22653028328e-15,1.06451310256e-18,2.75669412986e-06,3.74204278675e-11,4.09444540234e-27,1.96004255396e-22,2.41262076983e-09,4.55162796342e-09,9.62192062137e-11,1.61935552244e-24,4.19349453296e-06,3.551505651e-16,9.31786555737e-15,2.49254572537e-09,3.76703201965e-09,2.03163835977e-07,3.92990386899e-06,6.12984131637e-20,3.8414177438e-13,4.49644793072e-16,2.77155614015e-08,5.7266533986e-06,4.80186323579e-15,1.21260814723e-08,1.47788009075e-17,1.14462172379e-12,5.05527886219e-09,9.87670299821e-14,1.6445500961e-08,1.19005139076e-10,2.27716718043e-17,4.27087670785e-10,6.87413559235e-13,9.32750208449e-06,0.0278859101236,9.13007690284e-12,2.07058978517e-21,4.83295195222e-17,Ghatnandur
17,1.03674946406e-09,4.06993081015e-07,2.87266096773e-23,1.14204837587e-07,4.13393408394e-08,7.23901885294e-17,6.50376696942e-11,7.07056839815e-33,5.01683347112e-30,1.27566521866e-37,0.0,6.10365002984e-09,5.51233256374e-07,0.0,0.0,7.67002478527e-18,4.23980303575e-16,0.99999833107,3.11712814742e-29,1.26730390071e-10,6.52331133313e-18,1.6423213611e-31,0.0,1.24244480278e-23,5.26904727849e-07,9.99816518346e-21,7.5334092428e-35,5.95010711848e-19,3.67725775475e-24,3.49191653905e-33,0.0,4.77724948627e-28,3.8997111018e-16,0.0,3.24556608548e-16,3.04622836287e-13,3.43993611231e-15,1.48062566864e-17,0.0,7.78976456672e-08,1.93862315286e-15,7.07756835534e-30,7.06207764073e-18,3.08501559838e-26,5.86201972447e-18,4.58964227307e-30,1.47316908907e-21,8.39718239387e-10,6.67365546264e-17,2.56586904976e-15,7.3804560475e-29,0.0,5.06385947267e-24,2.23157483397e-27,1.27481845129e-30,1.32760145713e-21,4.62360887354e-08,1.00532863992e-18,5.06182104299e-28,2.97731042947e-31,0.0,0.0,Kusalamb
18,1.76117932276e-20,2.45002607103e-15,9.2428147113e-14,4.69031591344e-10,2.13954276518e-09,7.82843372349e-08,3.04431271858e-11,1.13769054622e-07,3.04557871977e-11,1.31811166284e-05,9.04922399059e-06,2.81920184897e-13,4.87351448086e-09,0.000346599408658,1.06613096129e-09,6.87619206019e-09,4.30641885032e-05,7.49360155091e-14,0.350724220276,2.0411808066e-07,6.41655706346e-09,3.20747695071e-08,1.09145103124e-05,1.51555769887e-13,1.75644123134e-14,2.43784643539e-18,0.647056102753,3.8858456719e-07,8.80065187392e-10,1.00774445855e-06,6.43634034958e-09,8.40587830453e-08,1.002672112e-10,9.34448933947e-22,0.000946671701968,4.43551005115e-15,2.34085916873e-07,9.24804417074e-12,1.57272694867e-09,1.19249501715e-15,0.000656704651192,6.89215687581e-17,2.02753070409e-12,1.23771609451e-15,4.56908094693e-10,5.30785471131e-10,7.91953766566e-07,1.45722133311e-05,9.93717962598e-15,2.53699795394e-07,7.25372817367e-11,4.41608108304e-06,8.26550603961e-05,2.90729147423e-08,5.67214783587e-07,8.64317087235e-07,1.476048382e-17,8.72743838275e-17,7.72091370891e-05,9.39840788305e-07,6.67422273182e-06,2.35321135733e-06,Alandi
19,1.92446124141e-12,1.64792857138e-09,3.24483563916e-35,2.64875783529e-08,7.2979654004e-14,4.54717668178e-25,2.16872151704e-19,2.75807642281e-17,1.20380623872e-11,2.54980352646e-38,0.0,2.49868492119e-07,1.61978505275e-06,0.0,0.0,5.98981530666e-26,7.48218155877e-07,1.33134471436e-17,6.3178256069e-18,0.999992847443,9.78040822701e-14,3.65128629542e-21,1.29248887171e-37,3.2040590287e-36,8.42538725961e-14,5.40885281008e-10,3.66136773784e-30,6.10754588925e-15,5.10088891592e-36,0.0,3.352500705e-36,0.0,1.32961837428e-33,0.0,1.52107562777e-17,0.0,1.03732779345e-23,1.64426232629e-08,2.96932570685e-35,8.93439671573e-28,1.56371930298e-16,0.0,1.34190874136e-18,4.08846574488e-14,1.8575961444e-28,2.4962459525e-22,3.05810128284e-38,3.44050085209e-19,3.63110606749e-35,8.91839174125e-13,0.0,0.0,0.0,0.0,8.23206833659e-21,2.29623683683e-17,4.54476685263e-06,1.38569044752e-16,2.42734216808e-35,1.14338799646e-22,0.0,0.0,Shivpur
